GEO_ID,Poverty,Bachelor,White,White-NH,Black,Black-NH,Asian,Asian-NH,AmericanIndian,AmericanIndian-NH,NHPI,NHPI-NH,Other,Other-NH,Multi,Multi-NH,Pre-1939 Housing,1939-1949 Housing,VacantHousing,OwnerOccupied,FamiliesWithChildren,White-H,Black-H,Asian-H,AmericanIndian-H,NHPI-H,Other-H,Multi-H,SimpsonsDI,OldHousing
42101000100,11.7,79.8,77.2,73.6,10.5,10.5,8.6,8.6,0.1,0.1,0.0,0.0,1.8,0.0,1.9,1.9,61.5,4.2,16.2,29.3,3.6,3.6000000000000085,0.0,0.0,0.0,0.0,1.8,0.0,0.4389010000000001,65.7
42101000200,19.9,49.5,34.1,34.0,5.9,5.9,55.9,55.9,0.0,0.0,0.0,0.0,1.0,0.0,3.1,2.7,40.8,2.1,13.5,42.0,14.9,0.10000000000000142,0.0,0.0,0.0,0.0,1.0,0.3999999999999999,0.5675920000000001,42.9
42101000300,10.6,79.2,81.7,71.5,5.2,5.2,9.7,9.7,0.0,0.0,0.0,0.0,0.9,0.0,2.5,2.0,42.6,1.1,9.6,24.8,8.0,10.200000000000003,0.0,0.0,0.0,0.0,0.9,0.5,0.465752,43.7
42101000401,26.3,67.1,59.6,53.9,12.9,12.6,26.2,26.2,0.0,0.0,0.0,0.0,0.3,0.0,1.0,1.0,32.0,3.3,16.2,30.4,2.7,5.700000000000003,0.3000000000000007,0.0,0.0,0.0,0.3,0.0,0.621592,35.3
42101000402,10.7,74.5,90.0,88.4,2.0,2.0,7.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,16.4,2.9,13.0,61.9,1.0,1.5999999999999943,0.0,0.0,0.0,0.0,0.0,0.0,0.21209599999999995,19.299999999999997
42101000500,32.4,39.3,43.6,34.6,32.0,29.4,16.3,15.7,1.2,0.7,0.0,0.0,4.8,0.0,2.2,1.6,71.5,5.8,10.6,3.8,4.4,9.0,2.6000000000000014,0.6000000000000014,0.5,0.0,4.8,0.6000000000000001,0.758717,77.3
42101000600,22.5,80.0,74.0,70.2,10.3,10.3,13.5,13.5,0.0,0.0,0.0,0.0,1.5,0.0,0.6,0.0,80.6,3.3,12.8,2.0,2.3,3.799999999999997,0.0,0.0,0.0,0.0,1.5,0.6,0.47565699999999994,83.89999999999999
42101000700,28.8,77.5,65.8,59.1,11.0,11.0,22.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,44.8,8.2,18.4,24.8,2.8,6.699999999999996,0.0,0.5,0.0,0.0,0.0,0.0,0.5877359999999999,53.0
42101000801,14.3,86.1,75.2,71.8,12.7,12.7,7.3,7.3,0.0,0.0,0.0,0.0,3.8,3.8,1.0,1.0,74.3,1.8,8.5,25.1,7.5,3.4000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.46031800000000006,76.1
42101000803,14.9,85.3,90.6,88.3,0.5,0.5,5.0,5.0,2.4,2.4,0.0,0.0,0.0,0.0,1.5,1.5,34.6,1.4,9.7,39.2,3.5,2.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.216456,36.0
42101000804,7.2,80.9,84.4,70.9,2.6,2.6,10.8,10.8,1.1,1.1,0.0,0.0,0.0,0.0,1.1,1.1,38.9,2.8,15.0,25.1,5.9,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4665120000000001,41.699999999999996
42101000901,21.3,81.4,68.2,63.6,8.5,8.5,20.9,20.9,0.0,0.0,0.0,0.0,1.9,0.0,0.5,0.5,64.9,8.4,18.1,3.5,3.7,4.600000000000001,0.0,0.0,0.0,0.0,1.9,0.0,0.5420959999999999,73.30000000000001
42101000902,21.2,69.4,73.0,70.7,4.9,4.9,19.8,19.8,0.0,0.0,0.0,0.0,0.4,0.4,1.8,1.8,32.6,3.2,13.3,14.5,6.5,2.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.456677,35.800000000000004
42101001001,10.1,82.2,86.8,84.8,1.1,1.1,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,26.9,1.5,15.4,60.6,6.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273042,28.4
42101001002,4.0,78.0,91.7,86.5,0.7,0.7,6.4,6.4,0.1,0.1,0.0,0.0,0.0,0.0,1.1,0.8,44.2,0.3,4.7,58.0,12.6,5.200000000000003,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.24485200000000004,44.5
42101001101,13.1,74.2,88.5,80.8,4.8,4.8,5.0,5.0,0.0,0.0,0.0,0.0,0.2,0.0,1.5,1.5,65.1,2.4,16.0,28.3,5.8,7.700000000000003,0.0,0.0,0.0,0.0,0.2,0.0,0.33617400000000003,67.5
42101001102,16.6,80.1,88.8,87.9,4.0,4.0,3.4,3.4,2.5,0.0,0.0,0.0,0.4,0.4,0.8,0.8,67.5,3.6,13.3,35.3,7.4,0.8999999999999915,0.0,0.0,2.5,0.0,0.0,0.0,0.22281699999999988,71.1
42101001201,6.7,93.5,89.3,85.8,1.1,1.1,5.0,5.0,0.5,0.5,0.0,0.0,0.1,0.1,4.0,4.0,74.8,4.5,4.3,49.6,14.7,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25836400000000004,79.3
